"Surface","Route","File","Audience","Data source","Existing fields","Missing hierarchy","Claim risk","Consistency risk","Credits risk","Export risk","Accessibility risk","Mobile risk","Proposed action","Scope status"
"Single contact result","/risk-check","src/app/(dashboard)/risk-check/page.tsx","Operators","/api/web-risk canonical result","Decision; score; reason; action; evidence; details; credits","Evidence coverage and audit metadata","Legacy certainty labels","Canonical metadata not grouped","View zero; scan charges once","No export","Metadata not structured","Long stack","Reorder and expose existing metadata","In scope"
"Bulk audit result","/bulk-check","src/app/(dashboard)/bulk-check/page.tsx","Operators and agencies","Chunked /api/bulk-check","Reconciliation; summary; queues; results; exports; preview","Search; tabs; actions; coverage; metadata","Readiness and waste language","Duplicated mappings","Downloads zero","Two CSV paths; no injection guard","No live region","Large table cannot narrow","Derived workbench over existing state","In scope"
"Audit History","/pre-send","src/app/pre-send/page.tsx; src/app/api/pre-send/route.ts","Returning operators","pre_send_checks and pre_send_results","Stored campaign counts and narrow contact facts","No current report contract","Approval wording","Legacy schema narrower","Read-only","No re-download","Expand state implicit","Minimal evidence","Stored facts only; owner guard","In scope"
"Embedded HTML preview","/bulk-check","src/components/audit/AuditReportPreview.tsx; src/lib/audit/report-format.ts","Growth+ users","ListAuditSummary","Launch; readiness; acceptance; queues; drivers; estimates","Reconciliation; contacts; coverage; metadata; print","Fictional labels and estimates","Summary-only","View zero","Not downloadable","No print semantics","Responsive cards","Actual-result report","In scope"
"PDF or print","None","None","Report recipients","None","None","Entire path missing","Cannot claim PDF","None","None","No artifact","None","None","Browser print and print CSS","In scope"
"CSV","/bulk-check","bulk page; src/lib/export/csv.ts","Operators","Current result rows","Full and queue files","Unified metadata","Estimated summary fields","Two builders","Repeat zero","Formula injection and generic names","Buttons labelled","Wraps","One safe builder","In scope"
"XLSX","/bulk-check","bulk page","Operators","Current result rows","One result sheet","Explicit safe cells and metadata","Legacy estimate fields","Separate formatter","Repeat zero","No explicit formula guard","Button labelled","Wraps","Safe cell values and stable filename","In scope"
"Google Sheets","Apps Script","google-sheets-addon/Code.gs","Growth+ operators","/api/v1/email/batch-check export_columns","Canonical columns; 100 batches; 5000 run","No report document","Fallback estimated waste","Fallback drift","Scan charged; write zero","Spreadsheet context","Native UI","Google-owned","Keep unchanged; verify parity","Protected"
"API outputs","/api/v1/email/check; /api/v1/email/batch-check","API route files","Growth+ developers","Risk engine and canonical adapter","Canonical results; reconciliation; summary; credits","No report wrapper by design","Evidence may be misread","Canonical adapter controls","Charged server-side","JSON only","N/A","N/A","No breaking change","Protected"
"Static illustrative sample","/#sample-audit","src/components/home/HomePageClient.tsx","Prospects","Fictional fixture","Illustrative distribution","Not real report","Must stay labelled","Visual drift","None","None","Existing","Responsive","Terminology verification only","Verify"
"States and boundaries","Protected result routes","Page/API files","All users","Client state; auth; entitlements","Empty; loading; errors; redirects","Queue empty; partial explanation","Incomplete must not look complete","State wording differs","No UI double charge","No partial export","Status not live","Readable","Clear derived states; preserve gates","In scope"
"Theme and input safety","All result surfaces","globals.css; pages; exporters","All users","Theme tokens and submitted values","Dark/light; React escaping","Print theme and artifact escaping","Generated artifacts risk","Exporter drift","None","CSV/XLSX/HTML injection","Contrast/focus regression","Overflow","Report print rules and centralized escaping","In scope"
